iter	Passed	Remaining
0	52	10545
1	53	5266
2	53	3506
3	53	2625
4	53	2096
5	53	1743
6	54	1492
7	54	1303
8	54	1156
9	54	1038
10	54	942
11	55	862
12	55	794
13	55	736
14	55	685
15	55	641
16	55	602
17	56	567
18	56	536
19	56	508
20	56	483
21	56	459
22	57	438
23	57	419
24	57	401
25	57	384
26	57	369
27	57	355
28	58	342
29	58	329
30	58	318
31	58	307
32	58	297
33	58	287
34	59	278
35	59	269
36	59	261
37	59	253
38	59	246
39	59	239
40	60	233
41	60	226
42	60	220
43	60	214
44	60	209
45	60	204
46	61	198
47	61	194
48	61	189
49	61	184
50	61	180
51	62	176
52	62	172
53	62	168
54	62	165
55	62	161
56	62	157
57	63	154
58	63	151
59	63	147
60	63	144
61	63	141
62	63	138
63	64	136
64	64	133
65	64	130
66	64	128
67	64	125
68	64	123
69	65	120
70	65	118
71	65	116
72	65	113
73	65	111
74	65	109
75	66	107
76	66	105
77	66	103
78	66	102
79	66	100
80	66	98
81	67	96
82	67	94
83	67	93
84	67	91
85	67	89
86	68	88
87	68	86
88	68	85
89	68	83
90	68	82
91	69	81
92	69	80
93	69	78
94	69	77
95	70	75
96	70	74
97	70	73
98	70	71
99	70	70
100	70	69
101	71	68
102	71	67
103	71	65
104	71	64
105	71	63
106	71	62
107	71	61
108	72	60
109	72	59
110	72	58
111	72	57
112	72	56
113	72	55
114	73	54
115	73	53
116	73	52
117	73	51
118	73	50
119	73	49
120	74	48
121	74	47
122	74	46
123	74	45
124	74	44
125	75	44
126	75	43
127	75	42
128	75	41
129	75	40
130	75	39
131	76	39
132	76	38
133	76	37
134	76	36
135	76	36
136	76	35
137	76	34
138	77	33
139	77	33
140	77	32
141	77	31
142	77	30
143	77	30
144	78	29
145	78	28
146	78	28
147	78	27
148	78	26
149	78	26
150	79	25
151	79	24
152	79	24
153	79	23
154	79	23
155	79	22
156	79	21
157	80	21
158	80	20
159	80	20
160	80	19
161	80	18
162	80	18
163	81	17
164	81	17
165	81	16
166	81	16
167	82	15
168	82	15
169	82	14
170	82	14
171	82	13
172	83	12
173	83	12
174	83	11
175	83	11
176	83	10
177	84	10
178	84	9
179	84	9
180	84	8
181	84	8
182	84	7
183	84	7
184	85	6
185	85	6
186	85	5
187	85	5
188	85	4
189	85	4
190	86	4
191	86	3
192	86	3
193	86	2
194	87	2
195	87	1
196	87	1
197	87	0
198	87	0
199	88	0
