id,date,kickoffAt,timeIST,season,sport,league,leagueId,homeTeam,awayTeam,homeGoals,awayGoals,FTHG,FTAG,FTR,completed,B365H,B365D,B365A
FRA_LIGUE1-1617-0,2016-08-12T00:00:00.000Z,2016-08-12T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Bastia,Paris SG,0,1,0,1,A,True,13.0,4.75,1.29
FRA_LIGUE1-1617-1,2016-08-12T00:00:00.000Z,2016-08-12T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Monaco,Guingamp,2,2,2,2,D,True,1.62,3.8,5.25
ENG_PL-1617-0,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Burnley,Swansea,0,1,0,1,A,True,2.4,3.3,3.25
FRA_LIGUE1-1617-3,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Caen,Lorient,3,2,3,2,H,True,2.2,3.25,3.5
FRA_LIGUE1-1617-4,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Dijon,Nantes,0,1,0,1,A,True,2.5,3.1,3.1
FRA_LIGUE1-1617-5,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Metz,Lille,3,2,3,2,H,True,3.4,3.2,2.2
FRA_LIGUE1-1617-6,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Montpellier,Angers,1,0,1,0,H,True,2.1,3.1,4.0
FRA_LIGUE1-1617-2,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Bordeaux,St Etienne,3,2,3,2,H,True,2.5,3.1,3.1
ENG_PL-1617-6,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Southampton,Watford,1,1,1,1,D,True,1.8,3.75,5.0
ENG_PL-1617-5,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Middlesbrough,Stoke,1,1,1,1,D,True,2.38,3.2,3.4
ENG_PL-1617-4,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Manchester City,Sunderland,2,1,2,1,H,True,1.25,6.5,15.0
ENG_PL-1617-3,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Hull,Leicester,2,1,2,1,H,True,4.5,3.6,1.91
ENG_PL-1617-2,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Everton,Tottenham,1,1,1,1,D,True,3.2,3.4,2.4
ENG_PL-1617-1,2016-08-13T00:00:00.000Z,2016-08-13T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Crystal Palace,West Brom,0,1,0,1,A,True,2.0,3.3,4.5
ENG_PL-1617-8,2016-08-14T00:00:00.000Z,2016-08-14T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Bournemouth,Manchester United,1,3,1,3,A,True,4.75,3.6,1.85
FRA_LIGUE1-1617-8,2016-08-14T00:00:00.000Z,2016-08-14T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Nancy,Lyon,0,3,0,3,A,True,3.5,3.3,2.15
FRA_LIGUE1-1617-7,2016-08-14T00:00:00.000Z,2016-08-14T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Marseille,Toulouse,0,0,0,0,D,True,2.0,3.3,4.0
FRA_LIGUE1-1617-9,2016-08-14T00:00:00.000Z,2016-08-14T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Nice,Rennes,1,0,1,0,H,True,2.38,3.1,3.25
ENG_PL-1617-7,2016-08-14T00:00:00.000Z,2016-08-14T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Arsenal,Liverpool,3,4,3,4,A,True,2.4,3.5,3.1
ENG_PL-1617-9,2016-08-15T00:00:00.000Z,2016-08-15T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Chelsea,West Ham,2,1,2,1,H,True,1.65,4.0,6.0
FRA_LIGUE1-1617-10,2016-08-19T00:00:00.000Z,2016-08-19T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Lyon,Caen,2,0,2,0,H,True,1.33,4.75,9.5
ESP_LALIGA-1617-0,2016-08-19T00:00:00.000Z,2016-08-19T00:00:00.000Z,07:30 PM IST,2016-17,football,La Liga,ESP_LALIGA,La Coruna,Eibar,2,1,2,1,H,True,1.95,3.4,4.2
ESP_LALIGA-1617-1,2016-08-19T00:00:00.000Z,2016-08-19T00:00:00.000Z,07:30 PM IST,2016-17,football,La Liga,ESP_LALIGA,Malaga,Osasuna,1,1,1,1,D,True,1.62,3.75,6.0
ENG_PL-1617-10,2016-08-19T00:00:00.000Z,2016-08-19T00:00:00.000Z,07:30 PM IST,2016-17,football,Premier League,ENG_PL,Manchester United,Southampton,2,0,2,0,H,True,1.53,4.2,7.5
FRA_LIGUE1-1617-13,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Nantes,Monaco,0,1,0,1,A,True,2.5,3.0,3.0
FRA_LIGUE1-1617-14,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Angers,Nice,0,1,0,1,A,True,2.5,3.0,3.2
FRA_LIGUE1-1617-11,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Toulouse,Bordeaux,4,1,4,1,H,True,2.3,3.2,3.25
FRA_LIGUE1-1617-12,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Rennes,Nancy,2,0,2,0,H,True,2.1,3.25,3.8
ITA_SERIEA-1617-1,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,Serie A,ITA_SERIEA,Roma,Udinese,4,0,4,0,H,True,1.44,4.5,7.5
ESP_LALIGA-1617-2,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,La Liga,ESP_LALIGA,Barcelona,Betis,6,2,6,2,H,True,1.08,11.0,29.0
ESP_LALIGA-1617-3,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,La Liga,ESP_LALIGA,Granada,Villarreal,1,1,1,1,D,True,2.5,3.2,3.0
ESP_LALIGA-1617-4,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,La Liga,ESP_LALIGA,Sevilla,Espanol,6,4,6,4,H,True,1.67,4.0,5.0
FRA_LIGUE1-1617-15,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Lille,Dijon,1,0,1,0,H,True,1.67,3.5,6.0
FRA_LIGUE1-1617-16,2016-08-20T00:00:00.000Z,2016-08-20T00:00:00.000Z,07:30 PM IST,2016-17,football,Ligue 1,FRA_LIGUE1,Lorient,Bastia,0,3,0,3,A,True,1.85,3.5,4.5
